FID,Year,Barrington,Bristol,Burrillville,Central_Falls,Charlestown,Coventry,Cranston,Cumberland,East_Greenwich,East_Providence,Exeter,Foster,Glocester,Hopkinton,Jamestown,Johnston,Lincoln,Little_Compton,Middletown,Narragansett,New_Shoreham,Newport,North_Kingstown,North_Providence,North_Smithfield,Pawtucket,Portsmouth,Providence,Richmond,Scituate,Smithfield,South_Kingstown,Tiverton,Warren,Warwick,West_Greenwich,West_Warwick,Westerly,Woonsocket
1,2009,0,0,<5,<5,0,<5,11,<5,0,<5,<5,0,<5,<5,0,<5,0,0,0,<5,0,<5,<5,6,0,9,<5,21,0,0,<5,0,0,<5,15,0,<5,<5,9
2,2010,0,<5,0,<5,0,<5,7,<5,<5,7,0,0,0,<5,0,<5,<5,0,0,<5,0,<5,<5,<5,<5,15,<5,21,<5,0,<5,<5,0,0,10,0,6,<5,<5
3,2011,0,<5,0,<5,<5,<5,<5,<5,0,9,0,0,0,<5,0,<5,0,0,0,0,0,<5,<5,8,0,14,0,20,0,<5,<5,<5,0,<5,14,0,7,<5,11
4,2012,<5,<5,<5,<5,0,5,15,<5,<5,<5,0,0,<5,0,0,7,<5,0,0,<5,0,<5,<5,7,<5,14,<5,17,0,<5,<5,<5,<5,0,18,<5,5,<5,7
5,2013,0,<5,<5,<5,<5,9,12,5,<5,<5,0,0,0,0,<5,<5,<5,0,<5,<5,<5,7,<5,5,<5,23,<5,35,<5,0,<5,<5,<5,0,16,0,13,0,13
6,2014,0,<5,<5,6,0,<5,13,<5,<5,11,<5,0,<5,<5,0,6,0,0,<5,<5,0,0,7,5,<5,16,<5,51,<5,0,<5,8,<5,6,15,0,6,5,10
7,2015,0,7,<5,8,<5,<5,16,7,0,10,<5,<5,0,<5,0,5,<5,0,<5,<5,0,<5,<5,10,<5,24,<5,65,<5,<5,<5,6,<5,<5,21,<5,8,<5,12
8,2016,<5,<5,<5,<5,<5,<5,16,6,<5,7,0,0,<5,<5,<5,14,<5,<5,5,<5,<5,<5,5,9,<5,19,6,71,0,<5,<5,<5,<5,<5,19,0,8,5,22
9,2017,<5,<5,5,6,<5,10,15,<5,<5,19,0,0,<5,<5,<5,10,<5,0,<5,5,<5,9,<5,7,<5,17,<5,60,<5,<5,<5,<5,<5,<5,13,0,10,6,29
10,2018,<5,<5,5,<5,5,9,23,<5,<5,11,<5,0,<5,0,0,5,<5,0,<5,0,0,<5,5,7,0,21,<5,75,0,<5,<5,0,<5,<5,20,0,12,<5,8
11,2019,<5,<5,<5,8,<5,7,18,<5,<5,12,<5,<5,<5,<5,0,8,0,0,0,<5,0,<5,<5,10,0,24,<5,54,0,<5,5,5,<5,<5,13,<5,<5,<5,9
12,2020,0,<5,<5,6,<5,9,21,6,<5,6,0,0,<5,<5,<5,7,<5,<5,<5,<5,0,<5,7,10,<5,26,<5,82,<5,6,5,<5,<5,<5,27,<5,9,6,24
