municipality,population
Barrington,16089
Bristol,22131
Warren,10429
Coventry,34698
East Greenwich,13103
Warwick,80847
West Greenwich,6339
West Warwick,28874
Jamestown,5490
Little Compton,3484
Middletown,15934
Newport,24590
Portsmouth,17313
Tiverton,15731
Burrillville,16740
Central Falls,19398
Cranston,81274
Cumberland,34977
East Providence,47476
Foster,4710
Glocester,10210
Johnston,29322
Lincoln,21771
North Providence,32559
North Smithfield,12485
Pawtucket,71847
Providence,179335
Scituate,10658
Smithfield,21719
Woonsocket,41603
Charlestown,7820
Exeter,6561
Hopkinton,8119
Narragansett,15464
New Shoreham,1034
North Kingstown,26320
Richmond,7702
South Kingstown,30650
Westerly,22509
